,Year,Month,Difference
0,2000,1,0.0
1,2000,2,-15336.54
2,2000,3,-7639.98
3,2000,4,-1193802.9533333334
4,2000,5,-444265.02074074064
5,2000,6,-2032578.4911111111
6,2000,7,-2526444.9583333335
7,2000,8,-2326849.930185185
8,2000,9,-7276674.5598148145
9,2000,10,-7304047.0425308645
10,2000,11,-8478077.412338821
11,2000,12,-10275707.854074074
12,2001,1,-11191214.086584361
13,2001,2,-13191278.173256364
14,2001,3,-12534952.654567901
15,2001,4,-12700632.165378753
16,2001,5,-14686990.957867704
17,2001,6,-15497410.156200077
18,2001,7,-19230373.26350023
19,2001,8,-15178716.454009043
20,2001,9,-25454939.77119575
21,2001,10,-23423573.817069042
22,2001,11,-18049957.39910837
23,2001,12,-21950169.324814815
24,2002,1,-22647152.313477367
25,2002,2,-24875616.220848277
26,2002,3,-27080195.304711934
27,2002,4,-21537208.307448957
28,2002,5,-25625969.599279836
29,2002,6,-23610178.473902605
30,2002,7,-24603974.111485038
31,2002,8,-27105595.206666667
32,2002,9,-23632048.91197531
33,2002,10,-27192355.45806161
34,2002,11,-20269116.651122544
35,2002,12,-28257377.533271607
36,2003,1,-28966118.911848802
37,2003,2,-20764475.937222224
38,2003,3,-20617468.731460907
39,2003,4,-19330509.67685185
40,2003,5,-25614772.84252172
41,2003,6,-29672867.32148148
42,2003,7,-34479890.63411523
43,2003,8,-30911590.024238683
44,2003,9,-27155806.65709031
45,2003,10,-24940873.86611111
46,2003,11,-32333195.259382717
47,2003,12,-20467567.281790122
48,2004,1,-21974043.981108293
49,2004,2,-14850433.99125997
50,2004,3,-23088485.431238122
51,2004,4,-21884598.216083676
52,2004,5,-26675941.469814815
53,2004,6,-21826418.413333334
54,2004,7,-25979807.94185185
55,2004,8,-16823968.463872887
56,2004,9,-18236236.88148148
57,2004,10,-21597694.001111113
58,2004,11,-19279393.817908093
59,2004,12,-29254742.187777776
60,2005,1,-17617094.81425926
61,2005,2,-17146340.118333332
62,2005,3,-17569586.422696996
63,2005,4,-16829206.63222222
64,2005,5,-17455880.85722222
65,2005,6,-28963039.150555555
66,2005,7,-21188467.715370372
67,2005,8,-15044634.92462963
68,2005,9,-15992251.057037037
69,2005,10,-17366021.574074075
70,2005,11,-23698360.130555555
71,2005,12,-17720546.035987653
72,2006,1,-19723398.13925926
73,2006,2,-15398740.351625513
74,2006,3,-19904327.953518517
75,2006,4,-18036662.832139917
76,2006,5,-22561452.969602194
77,2006,6,-20878245.242962964
78,2006,7,-20322183.483333334
79,2006,8,-22339273.960555557
80,2006,9,-19698126.646111112
81,2006,10,-15727354.444444444
82,2006,11,-9728721.835555555
83,2006,12,-12869073.82
84,2007,1,-13866146.01037037
85,2007,2,-12014011.141666666
86,2007,3,-12458757.931481482
87,2007,4,-10579021.366280971
88,2007,5,-7886949.171666667
89,2007,6,-9361879.698333334
90,2007,7,-8406514.899506172
91,2007,8,-10417889.723333333
92,2007,9,-9613221.378333334
93,2007,10,-10754359.269279836
94,2007,11,-5507849.658333333
95,2007,12,-6381409.246419753
96,2008,1,-8891844.691666666
97,2008,2,-7552522.754074074
98,2008,3,-11275805.587962963
99,2008,4,-9406580.182222223
100,2008,5,-9148833.248703703
101,2008,6,-11259227.363333333
102,2008,7,-9865359.463518519
103,2008,8,-9561463.528333334
104,2008,9,-6577898.433333334
105,2008,10,-11143397.997777777
106,2008,11,-3091192.9762620027
107,2008,12,-5138111.922222222
108,2009,1,-5189503.629444445
109,2009,2,-4276716.371666667
110,2009,3,-3362984.008888889
111,2009,4,-3815851.315925926
112,2009,5,-4802159.050555555
113,2009,6,-8414157.519444443
114,2009,7,-3882968.528703703
115,2009,8,-5149002.303148148
116,2009,9,-6339588.343333334
117,2009,10,-2769990.803888889
118,2009,11,-4079572.5022222223
119,2009,12,-3216515.0483333333
120,2010,1,-5066171.731666666
121,2010,2,-6187839.231666667
122,2010,3,-5484334.933333334
123,2010,4,-4708333.475
124,2010,5,-5680021.566111111
125,2010,6,-3875102.033333333
126,2010,7,-2825099.41
127,2010,8,-4801502.096111111
128,2010,9,-4608317.269444444
129,2010,10,-3466377.305
130,2010,11,-2045130.89
131,2010,12,-3001553.8911111113
132,2011,1,-3069005.045
133,2011,2,-2733307.2211111113
134,2011,3,-5888928.497777778
135,2011,4,-2869098.000555556
136,2011,5,-1071440.585
137,2011,6,-1215354.0066666666
138,2011,7,-2315265.3333333335
139,2011,8,-2195784.928333333
140,2011,9,-1174851.4487037037
141,2011,10,-4480039.743333333
142,2011,11,-1523834.2716666667
143,2011,12,-2497548.6494444446
144,2012,1,-2276975.805
145,2012,2,-1766198.555
146,2012,3,-3212099.5216666665
147,2012,4,-2268482.1016666666
148,2012,5,-3780735.4416666664
149,2012,6,-2064708.8399999999
150,2012,7,-3311079.9116666666
151,2012,8,-2933627.1433333335
152,2012,9,-2973605.4238888887
153,2012,10,-1306149.08
154,2012,11,-1922577.3941666665
155,2012,12,-2029545.1794444444
156,2013,1,-2040093.2616666667
157,2013,2,-3291372.1305555557
158,2013,3,-913881.9
159,2013,4,-2243998.2150000003
160,2013,5,-1388151.9833333332
161,2013,6,-662725.1466666666
162,2013,7,-905723.25
163,2013,8,-736563.4933333334
164,2013,9,-2669520.723333333
165,2013,10,-2154856.106666667
166,2013,11,-1684815.8966666667
167,2013,12,-771671.3633333333
168,2014,1,-1022571.1716666666
169,2014,2,-1725010.91
170,2014,3,-1982318.9833333334
171,2014,4,-984856.0866666667
172,2014,5,-1845264.7666666666
173,2014,6,-982587.1133333333
174,2014,7,-562982.2883333333
175,2014,8,-1551466.2366666666
176,2014,9,-1516959.3416666666
177,2014,10,-1802868.8255555555
178,2014,11,-1317949.04
179,2014,12,-995228.6799999999
180,2015,1,-1180360.24
181,2015,2,-1830391.9749999999
182,2015,3,-1604626.3566666667
183,2015,4,-1192078.7833333334
184,2015,5,-1126930.5183333333
185,2015,6,-1117371.8166666667
186,2015,7,-1124171.7205555555
187,2015,8,-2986061.8066666666
188,2015,9,-4921299.866666666
189,2015,10,-1273760.6833333333
190,2015,11,-495193.2350000001
191,2015,12,-2501937.382777778
192,2016,1,-1241109.3883333334
193,2016,2,-2138764.815
194,2016,3,-2817335.61
195,2016,4,-3293154.3866666667
196,2016,5,-1594352.9933333334
197,2016,6,-1509703.7966666666
198,2016,7,-1572226.9333333333
199,2016,8,-751110.9349999999
200,2016,9,-1143922.95
201,2016,10,-1079758.1400000001
202,2016,11,-1450380.1833333333
203,2016,12,-468052.13833333337
204,2017,1,-58983.99
205,2017,2,-335391.87
206,2017,3,-489457.395
207,2017,4,-1084640.03
208,2017,5,-807356.4783333334
209,2017,6,-249739.97
210,2017,7,-537326.0333333333
211,2017,8,-1045735.355
212,2017,9,-500490.75166666665
213,2017,10,-1679778.3800000001
214,2017,11,-1078869.6600000001
215,2017,12,-506648.22000000003
216,2018,1,-67282.28
217,2018,2,-155544.66
218,2018,3,-638591.2937037037
219,2018,4,-288865.665
220,2018,5,-381411.6666666666
221,2018,6,-315045.07
222,2018,7,-135005.62666666668
223,2018,8,-234949.70333333334
224,2018,9,-927116.7825925926
225,2018,10,-29317.496666666666
226,2018,11,-371445.82333333336
227,2018,12,-606560.2466666667
228,2019,1,-188373.90833333333
229,2019,2,-1055417.0350000001
230,2019,3,-306411.39333333337
231,2019,4,-401715.97000000003
232,2019,5,-1221747.6166666667
233,2019,6,-285244.83
234,2019,7,-337707.4333333334
235,2019,8,-64830.6
236,2019,9,-222332.21000000002
237,2019,10,-285936.12
238,2019,11,-97861.55
239,2019,12,-225892.28
240,2020,1,-62124.80666666663
241,2020,2,-248626.77
242,2020,3,-9007.960000000001
243,2020,4,-61770.87499999997
244,2020,5,-94721.02666666667
245,2020,6,-48517.99666666667
246,2020,7,-241803.51833333334
247,2020,8,-526570.7433333333
248,2020,9,-25965.704999999998
249,2020,10,-59928.509999999995
250,2020,11,-50370.13
251,2020,12,-463596.08999999997
252,2021,1,-303271.06
253,2021,2,-99825.0
254,2021,3,-82036.44000000002
255,2021,4,-230258.51999999996
256,2021,5,-144888.6
257,2021,6,-124106.11
258,2021,7,-549823.9400000001
259,2021,8,-11400.93
260,2021,9,-2318.45
